IDPlans,Department,Title,Amount,Detail,UseForUnit,PlanName,WorkName,BudgetName,BudgetType,EmpCatagory,GroupType,Year,PSUPassport,FileUpload
5,งานอาคารสถานที่และยานพาหนะ,ค่าตอบแทนพนักงานขับรถ,15000,"สำหรับจ่ายให้พนักงานขับรถกรณีขับรถนอกเวลาราชการ จำนวน 12 เดือนๆละ 1,250 บาท",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าตอบแทน,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
6,งานอาคารสถานที่และยานพาหนะ,ค่าตอบแทนพนักงานรักษาความปลอดภัย,48000,"สำหรับจ่ายให้ รปภ. กรณีทำงานนอกเวลาราชการ จำนวน 2 คน และจำนวน 12 เดือนๆ 4,000 บาท",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าตอบแทน,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
7,งานอาคารสถานที่และยานพาหนะ,เงินช่วยเหลือค่าอาหารพนักงานขับรถ,3000,เพื่อเป็นค่าสมนาคุณพนักงานขับรถตามระเบียบฯ กรณีไม่สามารถเบิกค่าล่วงเวลาได้ และสำหรับพนักงานขับรถของคณะฯ และของมหาวิทยาลัย,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
8,งานพัสดุ,ค่าเช่า,65000,"- เพื่อเป็นค่าใช้จ่ายในการใช้ห้องของคณะอื่นๆ (สอบถามรายวิชาจากงานบริการการศึกษา) จำนวน 5,000 บาท - ค่าเช่าครุภัณฑ์ เครื่องถ่ายเอกสาร เดือนละ 5,000 บาท จำนวน 12 เดือน รวม 60,000 บาท",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
9,งานพัสดุ,ค่าจ้างเหมาบริการ,793634,"- ค่าจ้างเหมาบริการแม่บ้านทำความสะอาดประจำปีงบประมาณ 2564 จำนวน 550,000 บาท - ค่าบำรุงรักษาครุภัณฑ์ เฉพาะค่าเครื่อปรับอากาศประจำปีจำนวน 100,000 บาท - ค่าดูแลรักษาลิฟต์แบบรวมอะไหล่ (โคเน่) เดือนละ 7,195.75 จำนวน 12 เดือน รวม 86,349 บาท - ค่าดูแลรักษาลิฟต์แบบไม่รวมอะไหล่ (ไพโอเนีย) เดือนละ 2,273.75 บาท จำนวน 12 เดือน รวม 27,285 บาท - ค่าดูแลสวนหย่อมคณะเศรษฐศาสตร์ประจำเดือน เดือนละ 2,500 บาท จำนวน 12 เดือน รวม 30,000 บาท",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
10,งานพัสดุ,ค่าซ่อมแซมครุภัณฑ์,70000,เพื่อเป็นค่าใช้จ่ายในการซ่อมแซมครุภัณฑ์ที่ติดกับตัวอาคาร ครุภัณทั่วไป แต่ไม่รวมค่าซ่อมครุภัณฑ์คอมพิวเตอร์และงานโสตฯ,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
11,งานพัสดุ,ค่าบริการเคเบิลทีวี,2400,ค่าใช้จ่ายรายเดือน เคเบิลรายเดือนๆละ 200 บาท จำนวน 12 เดือน,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
12,งานอาคารสถานที่และยานพาหนะ,ค่าใช้จ่ายรถราชการคณะเศรษฐศาสตร์,35000,ค่าเบี้ยประกันภัยชั้น 1 รถตู้และค่าใช้จ่ายในการเช็คระยะและถ่ายน้ำมันเครื่องประจำรอบ,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
13,งานพัสดุ,ค่าวัสดุ,100000,ค่าวัสดุกรณีวัสดุสำนักงาน ค่าน้ำมันเชื้อเพลิง วัสดุงานบ้านงานครัว เวชภัณฑ์ยา และวัสดุอื่นๆ,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
14,งานพัสดุ,ผ้าม่าน และม่านปรับแสง,20000,สำหรับห้องพักอาจารย์-เจ้าหน้าที่ ชั้น 5-7,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายลงทุน,งบลงทุน,ค่าครุภัณฑ์,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
15,งานอาคารสถานที่และยานพาหนะ,ค่าซ่อมบำรุงอาคารคณะเศรษฐศาสตร์,200000,"เป็นค่าตรวจเช็ค ค่าซ่อมรวมทั้งค่าแรง สำหรับกรณีฉุกเฉินเร่งด่วน จำนวน 200,000 บาท เนื่องจากคณะฯมีแผนเชิงรุกที่จะซ่อมบำรุงอาคารโดยการให้ผู้มีความเชี่ยวชาญมาสำรวจ",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
16,งานพัสดุ,ค่าครุภัณฑ์โต๊ะทำงานพร้อมเก้าอี้ของบุคลากรสายสนับสนุนและอาจารย์ใหม่,50000,สำหรับอาจารย์ลาศึกษาต่อ อาจารย์ใหม่ และสำหรับการซื้อทดแทนครุภัณฑ์ที่ชำรุดเดิม,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายลงทุน,งบลงทุน,ค่าครุภัณฑ์,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
17,งานอาคารสถานที่และยานพาหนะ,ค่าครุภัณฑ์ประตูกระจกห้องเรียน,50000,ทดแทนของเดิมที่ชำรุด,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายลงทุน,งบลงทุน,ค่าครุภัณฑ์,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
18,งานอาคารสถานที่และยานพาหนะ,พัดลม,30000,สำรองสำหรับใช้ใต้อาคารคณะเศรษฐศาสตร์เวลาจัดกิจกรรม จำนวน 4 ตัว,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายลงทุน,งบลงทุน,ค่าครุภัณฑ์,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
19,งานอาคารสถานที่และยานพาหนะ,ค่าใช้จ่ายสำหรับการทำป้ายต่างๆในอาคาร,10000,สำหรับการทำป้ายต่างๆและป้ายทดแทนป้ายเดิมที่ชำรุด,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
21,งานพัสดุ,ค่าครุภณฑ์อื่นๆ,50000,สำหรับซื้อครุภัณฑ์ที่นอกเหนือหรือเร่งด่วนไม่ได้ตั้งไว้ในแผน,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายลงทุน,งบลงทุน,ค่าครุภัณฑ์,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
22,งานการเงินและบัญชี,ค่าธรรมเนียมธนาคาร,3000,เพื่อเป็นค่าธรรมเนียมธนาคารของงานการเงินและบัญชี,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าสาธารนูปโภค,ไม่ต้องจับกลุ่ม group,2020,prapaporn.bu,
24,งานการเจ้าหน้าที่,บุคลากรที่มีตำแหน่งเหมือนราชการหรือพนักงานมหาวิทยาลัย,1640000,"เพื่อเป็นค่าจ้างสำหรับพนักงานเงินรายได้ 8 อัตรา 1.อัตราเดิม-นักการภารโรงและพนักงานธุรการ 15,181.- บาท x 12 เดือน x 1 อัตรา = 182,172 บาท 2.อัตราเดิม-พนักงานขับรถยนต์และซ่อมบำรุง 16,994.- บาท x 12 เดือน x 1 อัตรา = 203,928 บาท 3.อัตราเดิม-เจ้าหน้าที่รักษาความปลอดภัย(2 คน) 25,990.-บาท x 12 เดือน = 311,880 บาท 4.อัตราเดิม-นักวิชาการเงินและบัญชี 18,153.-บาท x 12 เดือน x 1 อัตรา = 217,836 บาท 5.อัตราเดิม-นักวิชาการอุดมศึกษา 19,538.-บาท x 12 เดือน x 1 อัตรา = 234,456 บาท 6.อัตราเดิม-นักวิชาการโสตทัศนศึกษา 17,313.-บาท x 12 เดือน x 1 อัตรา = 207,756 บาท 7.อัตราว่าง-นักวิชาการอุดมศึกษาวุฒิ ป.โท 22,750.-บาท x 12 เดือน x 1 อัตรา = 273,000 บาท",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบบุคลากร,ค่าจ้าง,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
25,งานการเจ้าหน้าที่,ค่าครองชีพชั่วคราว,24000,"เพื่อเป็นค่าครองชีพชั่วคราวให้กับพนักงานเงินรายได้ที่มีตำแหน่งต่ำกว่าวุฒิระดับปริญญาตรี เดือนละ 2,000 .-บาท(ตามระเบียบกระทรวงการคลัง)",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบบุคลากร,ค่าจ้าง,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
26,งานการเจ้าหน้าที่,ค่าเช่าที่พัก,96000,"ค่าใช้จ่ายสมทบร่วมกับมหาวิทยาลัยให้กับอาจารย์ใหม่หรืออาจารย์ที่กลับจากลาศึกษา 4 คน x 12 เดือน x 2,000.-บาท",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าตอบแทน,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
27,งานการเจ้าหน้าที่,เงินรางวัล,20000,เพื่อเป็นเงินรางวัลตอบแทนในการปฏิบัติงานให้กับพนักงานเงินรายได้ เพื่อเป็นเงินรางวัล เงินโบนัส หรือเป็นเงินรางวัลในกรณีต่างๆ,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าตอบแทน,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
28,งานการเจ้าหน้าที่,ค่าเดินทางไปราชการ,100000,เพื่อเป็นค่าเดินทางไปราชการตามที่ได้รับมอบหมายหรือตามตำแหน่งหน้าที่ของผู้บริหาร หัวหน้าสาขาวิชา คณาจารย์ที่ได้รับมอบหมายจากคณะฯ และบุคลากรสายสนับสนุน,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
29,งานโสตทัศนูปกรณ์,ไมโครโฟนไร้สาย,21000,เพื่อใช้กับตัวรับสัญญาณที่มีอยู่ (ซึ่งไมได้จัดซื้อในปีงบประมาณ 2563 เนื่องจากจำเป็นต้องนำงบประมาณไปใช้จัดซื้ออุปกรณ์สอนออนไลน์),ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายลงทุน,งบลงทุน,ค่าครุภัณฑ์,ไม่ต้องจับกลุ่ม group,2020,kittipong.pr,
30,งานอาคารสถานที่และยานพาหนะ,ค่าไฟฟ้าและน้ำประปา,1300000,สำหรับค่าไฟฟ้าและค่าน้ำประปาประจำปีงบประมาณปี 2564 เดือนตุลาคม 2563-กันยายน 2564,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าสาธารนูปโภค,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
31,งานโสตทัศนูปกรณ์,ชุดไฟสำหรับถ่ายภาพ และวิดีโอ,12000,ประกอบด้วย 1.Backdrop ขนาด 230*320 ซม. 2.M Stand โครงฉากหลัง 3.โคมไฟสี่เหลี่ยม 2 ชุด 4.ขาตั้งไฟ 2 ชุด,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายลงทุน,งบลงทุน,ค่าครุภัณฑ์,ไม่ต้องจับกลุ่ม group,2020,kittipong.pr,
32,งานโสตทัศนูปกรณ์,เครื่องสลับสัญญาณภาพ switcher,11800,"เครื่องสลับสัญญาณภาพ (สามารถนำเข้าสัญญาณภาพได้ 4 ช่อง) ซึ่งสามารถควบคุมการสลับภาพไปมา จากกล้องที่มีอยู่ได้ โดยนำไป live streaming, ผลิตคอนเทนต์ ให้ได้ประสิทธิภาพมากขึ้น",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายลงทุน,งบลงทุน,ค่าครุภัณฑ์,ไม่ต้องจับกลุ่ม group,2020,kittipong.pr,
33,งานโสตทัศนูปกรณ์,USB-C TO HDMI/VGA,2180,อุปกรณ์แปลงสัญญาณ ใช้สำรองสำหรับอาจารย์,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,kittipong.pr,
34,งานโสตทัศนูปกรณ์,MICRO HDMI TO HDMI FEMALE,380,อุปกรณ์แปลงสัญญาณ ใช้สำรองสำหรับอาจารย์,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,kittipong.pr,
35,งานโสตทัศนูปกรณ์,MINI DISPLAY PORT TO HDMI/VGA,490,อุปกรณ์แปลงสัญญาณ ใช้สำรองสำหรับอาจารย์,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,kittipong.pr,
36,งานโสตทัศนูปกรณ์,สาย HDMI 10 เมตร,1600,สายจอมอนิเตอร์,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,kittipong.pr,
37,งานโสตทัศนูปกรณ์,ค่าจ้างเหมาบริการต่าง ๆ เช่น ค่าติดตั้ง ค่าซ่อม,20000,สำรองไว้สำหรับ หากเกิดอุปกรณ์ชำรุด (ซึ่งไมได้ดำเนินการในปีงบประมาณ 2563 เนื่องจากจำเป็นต้องนำงบประมาณไปใช้จัดซื้ออุปกรณ์สอนออนไลน์),ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,kittipong.pr,
38,งานโสตทัศนูปกรณ์,ค่าปรับปรุงระบบภาพ และเสียง,40000,ปรับปรุงระบบภาพ และเสียง ห้องบบรยาย (ซึ่งไมได้ดำเนินการในปีงบประมาณ 2563 เนื่องจากจำเป็นต้องนำงบประมาณไปใช้จัดซื้ออุปกรณ์สอนออนไลน์),ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,kittipong.pr,
39,งานเทคโนโลยีสารสนเทศ,ค่าเช่าเซอร์ฟเวอร์ economics.psu.ac.th,8400,สำหรับให้บริการเว็บไซต์ economics.psu.ac.th 700 บาท/เดือน,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,chaimanat.l,
40,งานเทคโนโลยีสารสนเทศ,license SSL สำหรับเว็บเซอร์ฟเวอร์,2400,ระบบความปลอดภัยสำหรับบริการเว็บเซอร์ฟเวอร์ ระยะเวลา 2 ปี,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,chaimanat.l,
41,งานเทคโนโลยีสารสนเทศ,เครื่องแสกนลายนิ้วมือ,40000,เครื่องแสกนลายนิ้วมือเข้าออกงาน และเข้าออกคณะฯ ทดแทนของใหม่จำนวน 2 ตัว,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายลงทุน,งบลงทุน,ค่าครุภัณฑ์,ไม่ต้องจับกลุ่ม group,2020,chaimanat.l,
42,งานเทคโนโลยีสารสนเทศ,Access Point,115000,"Access Point สำหรับทดแทนเครื่องเก่า Access Point จำนวน 5 ตัวๆละ 23,000.00",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายลงทุน,งบลงทุน,ค่าครุภัณฑ์,ไม่ต้องจับกลุ่ม group,2020,chaimanat.l,
43,งานเทคโนโลยีสารสนเทศ,เครื่องสำรองไฟ,4500,"เครื่องสำรองไฟฟ้า สำหรับสำรองไว้ใช้งาน เครื่องสำรองไฟจำนวน 3 ตัวๆละ 1,500.00",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,chaimanat.l,
44,งานเทคโนโลยีสารสนเทศ,ฮาร์ดดิสแบบ SSD,5000,"ฮาร์ดดิสแบบ SSD สำรองไว้ใช้งาน SSD จำนวน 5 ตัวๆละ 1,000.00 รวม 5,000.00",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,chaimanat.l,
45,งานเทคโนโลยีสารสนเทศ,Keyboard,1750,"คีย์บอร์ สำหรับสำรองไว้ใช้งาน Keyboard จำนวน 5 ตัวๆละ 350.00 รวม 1,750.00",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,chaimanat.l,
46,งานเทคโนโลยีสารสนเทศ,Mouse,1750,"Mouse สำรองไว้ใช้งานสำหรับห้องปฏิบัติการคอมพิวเตอร์และส่วนกลาง Mouse 5 ตัวๆละ 350.00 รวม 1,750.00 บาท",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,chaimanat.l,
47,งานเทคโนโลยีสารสนเทศ,หูฟัง,7500,"หูฟัง จำนวน 10 ชิ้นๆละ 750.00 รวม 7,500.00 สำหรับสำรองไว้ใช้งาน",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,chaimanat.l,
48,งานเทคโนโลยีสารสนเทศ,ค่อซ่อมอุปกรณ์คอมพิวเตอร์,35000,ค่าซ่อมอุปกรณ์คอมพิวเตอร์และอุปกรณ์ต่อพ่วง,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,chaimanat.l,
49,งานเทคโนโลยีสารสนเทศ,ค่าซ่อมอุปกรณ์เครือข่าย,10000,ค่าซ่อมอุปกรณ์เครือข่าย,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,chaimanat.l,
50,งานเทคโนโลยีสารสนเทศ,ค่าซ่อมกล้องวงจรปิด,10000,ค่าซ่อมกล้องวงจรปิด สำรองเนื่องจากอุปกรณ์ไม่มีประสิทธิภาพและใช้งานเป็นเวลานาน,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,chaimanat.l,
